titulo,link,ementa,materia_originaria,link_materia,autoria,situacao,titulo_normalizado
"Decreto Legislativo nº 1205, de 07/07/2025",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=2006,Concede o Título de Cidadão do Recife ao Sr. Aloysio Corrêa da Veiga.,PDL 30/2025,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=164451,Romerinho Jatobá,Em vigor,Decreto Legislativo 1205/2025
"Decreto Legislativo nº 1204, de 01/07/2025",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=2005,"Concede o Título de Cidadã do Recife à Dra. Lídia Barci, em reconhecimento à sua relevante trajetória na Polícia Civil de Pernambuco e à sua contribuição à formação jurídica e à segurança pública no município do Recife.",PDL 24/2025,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=163774,Eduardo Moura,Em vigor,Decreto Legislativo 1204/2025
"Decreto Legislativo nº 1203, de 01/07/2025",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=2004,Concede o Título de Cidadão do Recife ao Dr. Aurélio Molina da Costa.,PDL 17/2025,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=161706,Tadeu Calheiros,Em vigor,Decreto Legislativo 1203/2025
"Decreto Legislativo nº 1202, de 03/06/2025",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1991,Concede o Título de Cidadão do Recife ao Capitão de Fragata Daniel de Andrade Ferreira.,PDL 18/2025,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=161894,Chico Kiko,Em vigor,Decreto Legislativo 1202/2025
"Decreto Legislativo nº 1201, de 03/06/2025",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1990,"Concede a Medalha de Mérito José Mariano ao Ministro de Portos e Aeroportos, Sr. Silvio Costa Filho.",PDL 13/2025,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=161170,Hélio Guabiraba,Em vigor,Decreto Legislativo 1201/2025
"Decreto Legislativo nº 1200, de 03/06/2025",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1989,"Concede o Título de Cidadã Recifense à Amanda Richter, atriz, apresentadora e produtora, pela força na projeção do Recife para o Brasil.",PDL 8/2025,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=159950,Natália de Menudo,Em vigor,Decreto Legislativo 1200/2025
"Decreto Legislativo nº 1199, de 03/06/2025",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1988,Concede o Título de Cidadão do Recife ao Fábio José de Melo Silva – Padre Fábio de Melo.,PDL 7/2025,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=159948,Felipe Alecrim,Em vigor,Decreto Legislativo 1199/2025
"Decreto Legislativo nº 1198, de 19/05/2025",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1987,Concede a Medalha de Mérito José Mariano ao Engenheiro Civil Victor Marques.,PDL 2/2025,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=158571,Felipe Francismar,Em vigor,Decreto Legislativo 1198/2025
"Decreto Legislativo nº 1197, de 12/05/2025",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1986,CONCEDE O TÍTULO CIDADÃO DO RECIFE AO PR. OZEIAS SANTOS LEAL,PDL 16/2025,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=161278,Fred Ferreira,Em vigor,Decreto Legislativo 1197/2025
"Decreto Legislativo nº 1196, de 12/05/2025",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1985,Concede o Título de Cidadão do Recife ao Sr. Luis Fernando Pereira da Silva.,PDL 15/2025,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=161178,Chico Kiko,Em vigor,Decreto Legislativo 1196/2025
"Decreto Legislativo nº 1195, de 12/05/2025",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1984,Concede o Título de Cidadã do Recife à Sra. Milena Vaciloto Rodrigues Pereira da Silva.,PDL 14/2025,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=161177,Chico Kiko,Em vigor,Decreto Legislativo 1195/2025
