title,summary,link,tags,published,tipo da lei
Decreto Legislativo 1205/2025,Concede o Título de Cidadão do Recife ao Sr. Aloysio Corrêa da Veiga.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=2006,Decreto Legislativo,2025-07-07,ConcessaoTitulo
Decreto Legislativo 1204/2025,"Concede o Título de Cidadã do Recife à Dra. Lídia Barci, em reconhecimento à sua relevante trajetória na Polícia Civil de Pernambuco e à sua contribuição à formação jurídica e à segurança pública no município do Recife.",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=2005,Decreto Legislativo,2025-07-01,ConcessaoTitulo
Decreto Legislativo 1203/2025,Concede o Título de Cidadão do Recife ao Dr. Aurélio Molina da Costa.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=2004,Decreto Legislativo,2025-07-01,ConcessaoTitulo
Decreto Legislativo 1202/2025,Concede o Título de Cidadão do Recife ao Capitão de Fragata Daniel de Andrade Ferreira.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1991,Decreto Legislativo,2025-06-03,ConcessaoTitulo
Decreto Legislativo 1201/2025,"Concede a Medalha de Mérito José Mariano ao Ministro de Portos e Aeroportos, Sr. Silvio Costa Filho.",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1990,Decreto Legislativo,2025-06-03,ConcessaoMedalha
Decreto Legislativo 1200/2025,"Concede o Título de Cidadã Recifense à Amanda Richter, atriz, apresentadora e produtora, pela força na projeção do Recife para o Brasil.",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1989,Decreto Legislativo,2025-06-03,ConcessaoTitulo
Decreto Legislativo 1199/2025,Concede o Título de Cidadão do Recife ao Fábio José de Melo Silva – Padre Fábio de Melo.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1988,Decreto Legislativo,2025-06-03,ConcessaoTitulo
Decreto Legislativo 1198/2025,Concede a Medalha de Mérito José Mariano ao Engenheiro Civil Victor Marques.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1987,Decreto Legislativo,2025-05-19,ConcessaoMedalha
Decreto Legislativo 1197/2025,CONCEDE O TÍTULO CIDADÃO DO RECIFE AO PR. OZEIAS SANTOS LEAL,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1986,Decreto Legislativo,2025-05-12,ConcessaoTitulo
Decreto Legislativo 1196/2025,Concede o Título de Cidadão do Recife ao Sr. Luis Fernando Pereira da Silva.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1985,Decreto Legislativo,2025-05-12,ConcessaoTitulo
Decreto Legislativo 1195/2025,Concede o Título de Cidadã do Recife à Sra. Milena Vaciloto Rodrigues Pereira da Silva.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1984,Decreto Legislativo,2025-05-12,ConcessaoTitulo
Decreto Legislativo 1194/2025,Concede Título de Cidadão do Recife ao Desembargador Federal Francisco Roberto Machado.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1983,Decreto Legislativo,2025-05-12,ConcessaoTitulo
Decreto Legislativo 1193/2025,Concede o Título de Cidadã do Recife a Nilzete Teixeira Santiago.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1982,Decreto Legislativo,2025-05-06,ConcessaoTitulo
Decreto Legislativo 1192/2025,Concede a Medalha de Mérito José Mariano ao Deputado Federal Luiz Eduardo de Queiroz Campos da Fonte Albuquerque (“Lula da Fonte”).,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1981,Decreto Legislativo,2025-05-06,ConcessaoMedalha
Decreto Legislativo 1191/2025,Concede a Medalha de Mérito José Mariano ao Coronel Ivanildo Cesar Torres de Medeiros.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1897,Decreto Legislativo,2025-04-14,ConcessaoMedalha
Decreto Legislativo 1190/2025,Concede o Título de Cidadã do Recife a Altemar Dutra Oliveira Júnior.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1900,Decreto Legislativo,2025-04-14,ConcessaoTitulo
Decreto Legislativo 1189/2025,Concede o Título de Cidadã do Recife a Senhora Fernanda Dantas Pessoa (Fernanda Pessoa).,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1901,Decreto Legislativo,2025-04-14,ConcessaoTitulo
Decreto Legislativo 1188/2025,"Concede o Título de Cidadão do Recife ao General de Exército Maurílio Miranda Neto Ribeiro, atual Comandante Militar do
Nordeste.",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1961,Decreto Legislativo,2025-04-14,ConcessaoTitulo
Decreto Legislativo 1186/2025,Concede a Medalha de Mérito José Mariano ao Senador Fernando Antônio Caminha Dueire.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1896,Decreto Legislativo,2025-04-01,ConcessaoMedalha
Decreto Legislativo 1185/2025,"Concede a Medalha de Mérito José Mariano ao Ministro do Tribunal Superior do Trabalho (TST), Sr. Alberto Bastos Balazeiro",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1899,Decreto Legislativo,2025-04-01,ConcessaoMedalha
Decreto Legislativo 1184/2025,Concede o Título de Cidadão do Recife ao Publicitário Alexandre Keese Guarnelli.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1960,Decreto Legislativo,2025-04-01,ConcessaoTitulo
Decreto Legislativo 1183/2025,"Concede a Medalha José Mariano  ao Ilmº Sr. Julio César Gomes da Silva - o Babalorixá ""Júnior de Ajagunã""",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1898,Decreto Legislativo,2025-03-31,ConcessaoMedalha
Decreto Legislativo 1182/2024,Concede a Medalha de Mérito José Mariano ao Dr. Pedro Cerqueira Russo,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1959,Decreto Legislativo,2024-12-16,ConcessaoMedalha
Decreto Legislativo 1181/2024,Concede o Título de Cidadã do Recife à Sr.ª Regina Maria Barreto Casé.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1958,Decreto Legislativo,2024-12-16,ConcessaoTitulo
