inicio_titulo,autor,summary,link,published
Aditamento a Parecer 8/2024,Ana Lúcia do Rego Ferreira,"ADITAMENTO AO  PARECER do Projeto de Lei Ordinária nº 390/2021 Denomina Rua Enéas Alves Freire a  via pública localizada próximo à Praça Sérgio  Loreto, entre a Travessa do Gusmão e a Rua do  Muniz, no Bairro de São José, município do  Recife. Pela APROVAÇÃO DA EMENDA MODIFICATICA Nº 1.",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=156875,27/11/2024
Aditamento a Parecer 7/2024,Ana Lúcia do Rego Ferreira,"ADITAMENTO AO PARECER do Projeto de Lei Ordinária nº257/2022 que Denomina Rua Maria do Carmo Travassos Freire a via pública localizada na lateral da Praça Sérgio Loreto, entre a Travessa do Gusmão e a Rua do Muniz, no Bairro de São José, no município do Recife. Pela APROVAÇÃO DA EMENDA MODIFICATICA Nº 1.",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=156873,27/11/2024
Aditamento a Parecer 6/2024,Samuel Salazar,Aditamento ao Parecer CFO 18/2024 sobre o Projeto de Lei do Executivo 19/2024,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=154294,27/06/2024
Aditamento a Parecer 5/2024,José Lourenço de Sobral Neto,"ADITAMENTO ao Parecer CLJ nº 173/2024, sobre o PLE nº 19/2024, que disciplina a Bonificação por Desempenho da Saúde Bucal, regulamentando a distribuição local dos recursos relacionados ao ""pagamento por desempenho da saúde bucal na atenção primária à saúde, no âmbito do SUS"", instituído pelo Ministério da Saúde; pela APROVAÇÃO, com APROVAÇÂO do ADITAMENTO.",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=154280,27/06/2024
Aditamento a Parecer 4/2024,Natália de Menudo,"ADITAMENTO ao Parecer CS nº 69/2024, sobre o Projeto de Lei do Executivo (PLE) nº 19/2024, que disciplina a Bonificação por Desempenho da Saúde Bucal, regulamentando a distribuição local dos recursos relacionados ao ""pagamento por desempenho da saúde bucal na atenção primária à saúde, no âmbito do SUS"", instituído pelo Ministério da Saúde",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=154246,27/06/2024
Aditamento a Parecer 3/2024,José Lourenço de Sobral Neto,"ADITAMENTO AO PARECER Nº 74/2024 do Projeto de Lei Ordinária (PLO) nº 295/2023, que “Denominarse-á “Praça da União” a praça localizada no Bairro de Boa Viagem, no município do Recife",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=152849,27/05/2024
Aditamento a Parecer 2/2024,José Lourenço de Sobral Neto,"ADITAMENTO AO PARECER Nº 73/2024 do Projeto de Lei Ordinária (PLO) nº 285/2023, que “Institui o “Dia Municipal de Conscientização sobre o Uso da Maconha Medicinal” no Calendário Oficial de Eventos do Município do Recife.",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=151874,06/05/2024
Aditamento a Parecer 1/2024,José Lourenço de Sobral Neto,"ADITAMENTO AO PARECER nº 50/2023 do Projeto de Lei Ordinária (PLO) nº 193/2022, que dispõe sobre a instalação de caixas coletoras para retenção de material sólido nas obras e serviços de construção e manutenção de bueiros e galerias de águas pluviais realizados em empreendimentos privados no município do Recife.",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=150136,27/03/2024
Aditamento a Parecer 13/2023,Samuel Salazar,"Aditamento ao Parecer Nº 68, referente ao Projeto de Lei do Executivo (PLE) no 57/2023",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=147168,07/12/2023
Aditamento a Parecer 12/2023,José Lourenço de Sobral Neto,Aditamento ao Parecer de Comissão ao Projeto de Lei Ordinária nº 234/2022 - Felipe Alecrim - Dispõe sobre a afixação de placas informativas versando sobre a Entrega Legal nas Unidades Públicas e Privadas de Saúde situadas no município do Recife.,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=145376,19/10/2023
Aditamento a Parecer 11/2023,José Lourenço de Sobral Neto,Aditamento ao Parecer de Comissão ao Projeto de Lei Ordinária nº 102/2023 - Rinaldo Júnior - Dispõe sobre a identificação dos torcedores nos estádios de futebol no Município do Recife.,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=145372,19/10/2023
Aditamento a Parecer 10/2023,José Lourenço de Sobral Neto,"Reanálise de Parecer da Comissão de Legislação e Justiça ao Projeto de Lei Ordinária nº 259/2019 - Ivan Moraes - ALTERA O ANEXO III DA LEI MUNICIPAL Nº 18.509, DE 23 DE JULHO DE 2018, QUE INSTITUI O PLANO DE CARGOS, CARREIRA, DESENVOLVIMENTO E VENCIMENTOS - PCCDV DO GRUPO OCUPACIONAL DE APOIO AO MAGISTÉRIO, E DÁ OUTRAS PROVIDÊNCIAS; pela REJEIÇÃO.",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=140239,07/06/2023
Aditamento a Parecer 9/2023,José Lourenço de Sobral Neto,"Reanálise de Parecer da Comissão de Legislação e Justiça ao Projeto de Lei Ordinária nº 92/2020 - Fred Ferreira - DISPÕE SOBRE A OBRIGATORIEDADE DE INSTALAÇÃO DE PLACAS DE PROTEÇÃO SANITÁRIA EM CAIXAS DE HIPERMERCADOS, SUPERMERCADOS E ATACADISTAS NO ÂMBITO DO MUNICÍPIO DO RECIFE; pela REJEIÇÃO.",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=140235,07/06/2023
Aditamento a Parecer 8/2023,José Lourenço de Sobral Neto,"Reanálise de Parecer da Comissão de Legislação e Justiça ao Projeto de Lei Ordinária nº 38/2021 - Marco Aurélio Filho - DISPÕE SOBRE A CONCESSÃO DE MEIA-ENTRADA PARA RADIALISTAS E JORNALISTAS EM ESTABELECIMENTOS E EVENTOS CULTURAIS, ESPORTIVOS, DE LAZER E ENTRETENIMENTO; pela REJEIÇÃO.",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=140228,07/06/2023
Aditamento a Parecer 7/2023,José Lourenço de Sobral Neto,Reanálise de parecer da Comissão de Legislação e Justiça ao Projeto de Lei Ordinária nº 204/2022 - Tadeu Calheiros - Dispõe sobre a presença de Profissional de Educação Física para o pleno funcionamento das academias de ginástica e instituições congêneres no município do Recife; pela APROVAÇÃO.,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=140224,07/06/2023
Aditamento a Parecer 6/2023,José Lourenço de Sobral Neto,"Aditamento ao Parecer da CLJ reanalisando o Projeto de Lei Ordinária nº 05/2023, que  que denomina “Luís Tenderini”  a Creche do Complexo Educacional a ser inaugurada no Bairro de Dois Unidos, no município do Recife; pela APROVAÇÃO, com Emenda Modificativa da Relatoria.",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=138420,08/05/2023
Aditamento a Parecer 5/2023,Cida Pedrosa,"Aditamento ao Parecer nº 583/2021 - Comissão de Defesa dos Direitos da Mulher - DA COMISSÃO DE DEFESA DOS DIREITOS DA MULHER SOBRE O PROJETO DE LEI ORDINÁRIA Nº 106/2021, QUE OBRIGA BARES, RESTAURANTES, CASAS NOTURNAS, CASAS DE EVENTOS E AFINS, LOCALIZADOS NO MUNICÍPIO DO RECIFE, A ADOTAR MEDIDAS DE AUXÍLIO À MULHER EM SITUAÇÃO DE RISCO. PELA APROVAÇÃO.",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=137952,28/04/2023
Aditamento a Parecer 4/2023,Samuel Salazar,"Aditamento ao Parecer de Comissão nº 07/2023 referente ao Projeto de Lei do Executivo nº 12/2023 - Prefeito do Recife - Institui o Grupo Ocupacional de Promoção dos Direitos das Mulheres do Município do Recife, criando os cargos efetivos necessários para a sua composição.",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=137951,28/04/2023
Aditamento a Parecer 3/2023,José Lourenço de Sobral Neto,"Da Comissão de Legislação e Justiça sobre o PLE 12/2023, que institui o Grupo Ocupacional de Promoção dos Direitos das Mulheres do Município do Recife, criando os cargos efetivos necessários para a sua composição; pela APROVAÇÃO COM EMENDA.",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=137499,24/04/2023
Aditamento a Parecer 2/2023,José Lourenço de Sobral Neto,"Da Comissão de Legislação e Justiça sobre o PLE 14/2023, que desafeta a Rua SD 9273 no trecho entre as Ruas Tenente João Cícero e Professor José Brandão, constante na quadra J do loteamento desmembrado do Sítio Passo da Barreta (Loteamento Novo Jardim Sítio Passo da Barreta), e autoriza a doação da área desafetada com encargos para o Instituto de Apoio Socioassistencial de Pernambuco - IASP para implantação de Centro de apoio ao transplante de medula óssea; pela APROVAÇÃO COM EMENDA.",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=137492,20/04/2023
