Nome,Endereço,Cidade,Estado,CEP,Telefone,Site,Atividades
A.R. CONSULTORIA E SANEAMENTO LTDA,"RUA PADRE ROMA 303, SL 101 CENTRO",FLORIANOPOLIS,SC,88010-090,48 3225-6074,WWW.AR-ENG.COM.BR,arquitetura;controles tecnológicos;engenharia;estudos e projetos;planejamento
"ABF ENGENHARIA, SERVICOS E COMERCIO LTDA","RUA CARLOS ESTEVAO, 57, MADALENA",RECIFE,PE,50720-050,81 3236-8484,www.abfengenharia.com.br,engenharia;estudos e projetos;geotecnia;gerenciamento;planejamento;topografia
ABG ENGENHARIA E MEIO AMBIENTE LTDA,"RUA DR BARROS CASSAL 180, CJ 804 FLORESTA",PORTO ALEGRE,RS,90035-901,51 3313-9110,,estudos e projetos;gerenciamento;planejamento
ACCIONA ENGENHARIA LTDA,"RUA OLIMPIADAS 134, CONJ 112 VILA OLIMPIA",SAO PAULO,SP,01407-200,11 3073-0931,,arquitetura;engenharia;estudos e projetos;geotecnia;gerenciamento;planejamento
ACQUATOOL CONSULTORIA S/S LTDA,"AV DOM LUIS, 300, SL 702 ALDEOTA",FORTALEZA,CE,60160-230,85 3264-9700,WWW.ACQUATOOL.COM.BR,controles tecnológicos;engenharia;estudos e projetos;geotecnia;gerenciamento;inspeção;planejamento;topografia
AEROGEO AEROFOTOMETRIA GEOPROCESSAMENTO E ENG LTDA,"RUA DELFINA FUSQUINI SIRIANNI 65, JD VILA NOVA  .BR",PORTO ALEGRE,RS,91750-280,51 3248-5833,AEROGEO.COM,aerofotogrametria;engenharia;estudos e projetos;geotecnia;topografia
AFIRMA – ENGENHARIA E PROJETOS LTDA,"AV VEREADOR ARLINDO CHEMIN 50, SL 201 CENTRO",CAMPO LARGO,PR,83601-070,41 3244-6396,WWW.AFIRMA.ENG.BR,controles tecnológicos;engenharia;estudos e projetos;geotecnia;gerenciamento;inspeção;topografia
AGF ENGENHARIA LTDA,"RUA SAO VICENTE DE PAULO, 481 , CENTRO",ARAUCARIA,PR,83702-050,41 3614-4450,,gerenciamento;planejamento
AGM PROJETOS DE ENGENHARIA LTDA,"Rua Rego Freitas, 289, 1º Andar, República São Paulo (São Paulo)",,,01220-010,11 5052-2612,www.agmengenharia.com.br,arquitetura;engenharia;estudos e projetos;gerenciamento;planejamento;topografia
ALPHAGEOS – TECNOLOGIA APLICADA SA,"RUA JOAO FERREIRA DE CAMARGO, 703, TAMBORE",BARUERI,SP,06460-060,11 4196-5400,www.alphageos.com.br,controles tecnológicos;estudos e projetos;geotecnia;gerenciamento
ALTA ENGENHARIA DE CONSULTORIA LTDA,"RUA YVON MAGALHAES, 573, CJ 101 SAO BENTO",BELO HORIZONTE,MG,30350-560,31 3546-6926,,arquitetura;engenharia;estudos e projetos;gerenciamento;planejamento
