id_subetapa,etapa,subetapa,data_inicio_prevista,data_fim_prevista,data_inicio_executado,data_fim_executado,valor_previsto,valor_executado
100,Mobilização,Limpeza do terreno,2025-07-01,2025-07-06,2025-07-02,2025-07-04,9617,9451.65
101,Mobilização,Tapume,2025-07-03,2025-07-13,2025-07-05,2025-07-13,9015,9654.84
102,Mobilização,Barracão de obra,2025-07-05,2025-07-10,2025-07-04,2025-07-12,7256,6616.97
103,Fundação,Sondagem,2025-07-07,2025-07-12,2025-07-06,2025-07-10,14489,14377.82
104,Fundação,Escavação,2025-07-08,2025-07-14,2025-07-09,2025-07-16,10205,9845.48
105,Fundação,Blocos de fundação,2025-07-10,2025-07-17,2025-07-11,2025-07-16,17688,19554.59
106,Fundação,Vigas baldrame,2025-07-11,2025-07-20,2025-07-12,2025-07-21,8169,8956.91
107,Estrutura,Pilares,2025-07-12,2025-07-22,2025-07-13,2025-07-23,18177,17496.82
108,Estrutura,Vigas,2025-07-13,2025-07-21,2025-07-14,2025-07-19,12101,11760.44
109,Estrutura,Lajes,2025-07-15,2025-07-22,2025-07-16,2025-07-22,17223,19255.46
110,Alvenaria,Alvenaria externa,2025-07-17,2025-07-25,2025-07-19,2025-07-25,15748,14345.63
111,Alvenaria,Alvenaria interna,2025-07-19,2025-07-29,2025-07-19,2025-07-28,19723,20124.61
112,Alvenaria,Vergas e contravergas,2025-07-20,2025-07-24,2025-07-22,2025-07-23,7795,7106.06
113,Instalações Elétricas,Eletrodutos,2025-07-21,2025-07-28,2025-07-20,2025-07-28,9421,9228.32
114,Instalações Elétricas,Fiação,2025-07-23,2025-08-02,2025-07-24,2025-08-04,16777,17709.59
115,Instalações Elétricas,Tomadas,2025-07-25,2025-08-01,2025-07-26,2025-07-31,6701,7260.18
116,Instalações Hidrossanitárias,Tubulações de água,2025-07-27,2025-08-01,2025-07-29,2025-08-02,17788,18964.38
117,Instalações Hidrossanitárias,Esgoto,2025-07-28,2025-08-07,2025-07-30,2025-08-10,9915,11182.32
118,Instalações Hidrossanitárias,Louças,2025-07-29,2025-08-06,2025-07-31,2025-08-05,5165,5551.8
119,Revestimentos,Chapisco,2025-07-31,2025-08-04,2025-07-30,2025-08-04,19626,22503.26
120,Revestimentos,Emboço,2025-08-01,2025-08-07,2025-08-02,2025-08-10,7720,7132.6
121,Revestimentos,Cerâmica piso,2025-08-03,2025-08-08,2025-08-05,2025-08-08,6917,6734.33
122,Revestimentos,Cerâmica parede,2025-08-04,2025-08-14,2025-08-04,2025-08-12,11784,13268.78
123,Pintura,Massa corrida,2025-08-06,2025-08-13,2025-08-05,2025-08-11,12436,13702.24
124,Pintura,Pintura interna,2025-08-07,2025-08-14,2025-08-09,2025-08-16,6759,6471.47
125,Pintura,Pintura externa,2025-08-08,2025-08-12,2025-08-10,2025-08-11,17909,17733.17
126,Cobertura,Estrutura metálica,2025-08-09,2025-08-13,2025-08-08,2025-08-11,9293,8447.32
127,Cobertura,Telhas,2025-08-11,2025-08-16,2025-08-10,2025-08-16,15099,15631.69
128,Cobertura,Rufos,2025-08-13,2025-08-17,2025-08-14,2025-08-20,8088,8653.98
129,Finalização,Esquadrias,2025-08-15,2025-08-24,2025-08-16,2025-08-23,13026,13931.11
130,Finalização,Limpeza fina,2025-08-17,2025-08-25,2025-08-18,2025-08-23,16515,16927.8
131,Finalização,Entrega da obra,2025-08-18,2025-08-23,2025-08-18,2025-08-22,7336,7679.49
