IdSubetapa,Data Vistoria,Classificação,Data Início Retrabalho,Data Fim Retrabalho
106,2025-07-29,grave,,
102,2025-08-06,grave,,
107,2025-07-14,grave,,
116,2025-08-01,moderada,,
125,2025-07-26,grave,,
119,2025-07-06,moderada,2025-07-16,
113,2025-08-07,moderada,2025-08-12,
101,2025-08-13,grave,2025-08-21,2025-08-26
104,2025-07-20,leve,2025-07-22,
104,2025-07-30,moderada,2025-08-08,
112,2025-07-29,moderada,2025-08-01,2025-08-05
106,2025-08-10,grave,2025-08-15,
112,2025-07-03,grave,,
111,2025-07-27,grave,2025-08-01,
126,2025-07-16,moderada,,
117,2025-07-15,grave,2025-07-24,2025-07-26
122,2025-07-09,leve,,
121,2025-08-14,moderada,2025-08-15,
109,2025-07-21,leve,,
116,2025-08-15,leve,2025-08-17,
119,2025-07-26,leve,2025-08-03,
105,2025-07-05,grave,,
119,2025-07-03,leve,2025-07-13,
123,2025-07-02,moderada,2025-07-08,2025-07-10
124,2025-07-18,leve,2025-07-27,
123,2025-07-09,grave,2025-07-18,
129,2025-07-22,moderada,,
103,2025-07-09,leve,2025-07-10,
115,2025-07-16,grave,,
109,2025-07-05,moderada,2025-07-13,2025-07-15
112,2025-07-05,leve,,
110,2025-07-12,grave,,
107,2025-07-27,leve,,
124,2025-07-05,grave,2025-07-10,2025-07-13
121,2025-07-28,grave,2025-08-03,2025-08-05
114,2025-07-14,leve,2025-07-24,
127,2025-07-03,grave,2025-07-08,2025-07-10
126,2025-07-06,grave,2025-07-09,
124,2025-07-29,moderada,2025-08-05,
105,2025-07-18,leve,2025-07-19,
128,2025-07-01,grave,,
122,2025-07-03,moderada,2025-07-12,2025-07-16
117,2025-07-10,leve,,
110,2025-08-01,leve,2025-08-02,
115,2025-08-10,grave,2025-08-16,
123,2025-07-16,leve,,
121,2025-07-21,moderada,,
123,2025-07-23,moderada,2025-07-31,
112,2025-08-02,leve,,
102,2025-07-09,grave,,
101,2025-07-11,grave,2025-07-20,
117,2025-07-18,grave,2025-07-26,
129,2025-07-29,leve,2025-08-08,
127,2025-07-11,leve,2025-07-17,2025-07-19
126,2025-07-07,moderada,,
118,2025-08-08,grave,2025-08-10,
109,2025-08-05,grave,2025-08-12,
107,2025-07-13,moderada,2025-07-22,2025-07-24
126,2025-08-11,moderada,,
113,2025-08-03,moderada,2025-08-12,
107,2025-08-05,grave,2025-08-08,
117,2025-07-22,moderada,2025-07-26,2025-07-28
121,2025-08-08,leve,,
117,2025-08-05,moderada,2025-08-13,2025-08-17
130,2025-07-16,moderada,2025-07-22,
126,2025-07-04,grave,2025-07-07,2025-07-12
111,2025-08-02,leve,2025-08-12,2025-08-13
110,2025-08-06,moderada,2025-08-08,
122,2025-07-28,grave,,
120,2025-07-18,moderada,2025-07-26,2025-07-29
126,2025-07-06,grave,,
106,2025-07-18,grave,2025-07-28,2025-07-29
115,2025-08-08,leve,,
118,2025-08-13,leve,2025-08-15,
102,2025-07-01,grave,2025-07-02,2025-07-05
111,2025-08-06,leve,2025-08-12,
122,2025-07-21,leve,2025-07-27,
129,2025-07-28,grave,2025-07-29,2025-08-01
108,2025-07-24,moderada,2025-07-25,2025-07-28
125,2025-07-06,leve,,
113,2025-07-10,leve,2025-07-11,2025-07-16
120,2025-08-12,moderada,2025-08-22,
130,2025-07-15,moderada,,
117,2025-07-24,leve,,
107,2025-08-09,moderada,2025-08-17,
119,2025-08-07,grave,2025-08-13,
102,2025-08-05,grave,2025-08-11,2025-08-15
125,2025-07-27,grave,,
129,2025-07-17,leve,2025-07-19,2025-07-23
126,2025-07-19,grave,2025-07-22,2025-07-23
105,2025-07-05,moderada,,
104,2025-07-23,moderada,,
105,2025-07-04,moderada,2025-07-13,
102,2025-08-08,grave,,
108,2025-07-29,grave,2025-08-07,2025-08-11
119,2025-07-17,grave,2025-07-19,
118,2025-08-04,moderada,,
120,2025-07-18,leve,2025-07-28,
126,2025-07-17,moderada,,
122,2025-08-01,moderada,,
117,2025-08-12,leve,2025-08-21,
122,2025-07-11,grave,2025-07-14,
116,2025-07-20,leve,2025-07-27,
107,2025-07-15,leve,2025-07-18,2025-07-20
122,2025-07-08,grave,,
123,2025-08-10,leve,2025-08-19,
125,2025-07-12,leve,2025-07-19,2025-07-22
116,2025-07-08,grave,,
102,2025-08-07,moderada,2025-08-09,2025-08-13
125,2025-07-31,grave,2025-08-04,2025-08-08
118,2025-07-17,moderada,2025-07-23,2025-07-25
103,2025-08-15,leve,2025-08-16,2025-08-18
125,2025-07-10,grave,2025-07-20,2025-07-21
126,2025-08-14,moderada,2025-08-19,
116,2025-07-18,moderada,2025-07-21,
128,2025-08-14,grave,,
130,2025-07-27,moderada,2025-08-02,2025-08-07
113,2025-07-13,grave,2025-07-17,
129,2025-07-09,moderada,,
115,2025-07-15,moderada,2025-07-25,2025-07-29
