id_subetapa,fornecedor,material,data_entrega_prevista,data_entrega_real,valor_unitario,quantidade
101,Verde Serviços,Serviço de roçagem,2025-08-12,2025-08-11,1418.7,27
101,EcoLimpa,Remoção de entulho,2025-07-20,2025-07-22,281.58,107
101,Máquinas Sul,Escavadeira hidráulica,2025-08-10,2025-08-10,1239.15,41
101,Transportes Jato,Caçamba estacionária,2025-07-10,2025-07-14,1180.73,16
101,Sinalize Bem,Sinalização de segurança,2025-07-30,2025-08-03,75.75,55
102,MetalCercas,Tapume de chapa metálica,2025-07-24,2025-07-27,1379.01,149
102,Madeireira Nacional,Poste de madeira,2025-07-22,2025-07-22,148.16,90
102,Parafusos Brasil,Fixadores zincados,2025-07-03,2025-07-05,49.12,117
102,MetalPortões,Portão de obra,2025-07-03,2025-07-08,257.98,131
102,SeguraTudo,Trava de segurança,2025-08-09,2025-08-11,621.45,95
103,Telhas ABC,Telha galvanizada,2025-07-05,2025-07-10,528.04,95
103,MetalFrame,Estrutura metálica leve,2025-08-12,2025-08-15,103.32,81
103,Compensados Silva,Painel OSB,2025-07-06,2025-07-06,1331.76,9
103,FerroLar,Porta metálica basculante,2025-08-02,2025-08-06,820.95,24
103,EletroSol,Luminária LED 20W,2025-07-01,2025-07-02,394.2,89
104,GeoSolo,Serviço de sondagem SPT,2025-07-14,2025-07-14,356.73,30
104,PerfuraTec,Barras de perfuração,2025-08-11,2025-08-14,254.3,4
104,Tubos Delta,Tubo PVC sondagem,2025-07-26,2025-07-30,1302.29,56
104,SoloMaq,Equipamento SPT,2025-08-15,2025-08-14,295.68,105
104,Topografia Mais,Serviço topográfico,2025-08-06,2025-08-05,484.15,101
105,Máquinas Sul,Escavadeira hidráulica,2025-07-07,2025-07-10,49.68,34
105,LocaTerraplenagem,Retroescavadeira,2025-08-04,2025-08-07,339.27,9
105,TranspCargas,Caminhão basculante,2025-08-15,2025-08-15,988.69,126
105,EquipObras,Pá carregadeira,2025-07-18,2025-07-24,139.35,23
105,Lubrimar,Lubrificante para maquinário,2025-08-01,2025-08-04,583.35,73
106,Pedreira Boa Vista,Brita 1,2025-07-05,2025-07-08,901.41,41
106,Areal Delta,Areia média lavada,2025-07-18,2025-07-24,682.76,83
106,Cimento Nacional,Cimento CP II,2025-07-15,2025-07-17,1205.23,32
106,Ferro Forte,Aço CA-50,2025-08-06,2025-08-07,32.31,80
106,Formatec,Forma plástica,2025-07-05,2025-07-04,300.51,134
107,Ferro Forte,Vergalhão CA-50,2025-07-12,2025-07-12,458.94,12
107,Concremax,Concreto usinado FCK25,2025-07-30,2025-08-01,1312.76,3
107,Formarte,Fôrma metálica,2025-08-11,2025-08-16,1251.35,113
107,Parafuso e Cia,Pregos 18x27,2025-08-06,2025-08-08,128.69,46
107,Químicos ABC,Desmoldante,2025-08-07,2025-08-12,1322.09,149
108,Formatec,Forma metálica circular,2025-07-09,2025-07-15,436.85,49
108,Aço Brasil,Vergalhão CA-60,2025-08-09,2025-08-10,274.11,31
108,Concretão,Concreto bombeável,2025-08-07,2025-08-08,1374.75,120
108,Construfix,Espaçador plástico,2025-07-31,2025-07-30,537.0,57
108,LokaMaq,Mangote vibrador,2025-08-06,2025-08-11,1332.12,12
109,Ferro Forte,Aço CA-50,2025-07-19,2025-07-21,300.99,53
109,Madeireira Nacional,Forma de madeira,2025-08-03,2025-08-02,1222.82,141
109,Cimento Forte,Concreto estrutural,2025-07-06,2025-07-06,1314.69,77
109,Aramar,Arame recozido,2025-07-08,2025-07-08,493.04,42
109,FixaTudo,Suporte para formas,2025-07-07,2025-07-10,846.05,54
110,Lajes Top,Laje treliçada,2025-08-03,2025-08-06,966.02,93
110,IsoporMax,Painel EPS,2025-08-14,2025-08-20,798.78,8
110,Concretar,Concreto auto-adensável,2025-07-05,2025-07-07,117.74,134
110,Aço Forte,Malha pop Q92,2025-08-15,2025-08-19,749.63,105
110,Construfix,Espaçador para malha,2025-07-31,2025-08-02,456.04,61
111,Cerâmica Brasil,Bloco cerâmico 9x14x39,2025-07-31,2025-07-31,506.04,38
111,Quartzolit,Argamassa AC-I,2025-08-13,2025-08-13,1360.88,73
111,Construlinha,Linha de pedreiro,2025-07-03,2025-07-06,680.39,41
111,Ferramentas Sul,Colher de pedreiro,2025-07-25,2025-07-25,578.33,124
111,BaldeMax,Baldes plásticos 12L,2025-07-21,2025-07-25,1356.89,146
112,Celular Concreto,Bloco de concreto celular,2025-07-14,2025-07-14,1304.93,35
112,Votomassa,Argamassa interna,2025-07-21,2025-07-22,1221.7,74
112,Niveleco,Nível de bolha,2025-08-13,2025-08-14,1443.83,131
112,Hidrofácil,Torneirinha para mistura,2025-08-02,2025-08-03,1224.49,76
112,Ferramentas Sul,Espátula metálica,2025-07-03,2025-07-02,1218.52,44
113,Ferro Forte,Vergalhão CA-50,2025-07-04,2025-07-03,831.45,115
113,Madeireira Nacional,Forma de madeira,2025-07-18,2025-07-17,604.02,119
113,Cimento Nacional,Concreto FCK20,2025-08-02,2025-08-05,340.03,113
113,Fixar,Prego cabeça dupla,2025-07-17,2025-07-18,173.67,113
113,MedirBem,Trena 5m,2025-08-01,2025-08-04,212.28,148
114,EletroPlast,"Eletroduto corrugado 3/4""",2025-07-31,2025-07-30,75.7,102
114,ConduFlex,Curva PVC 90°,2025-07-23,2025-07-24,1045.22,99
114,FixarTudo,Abraçadeira de nylon,2025-07-31,2025-07-30,919.14,34
114,Elétrica Forte,Caixa octogonal,2025-07-16,2025-07-22,986.15,19
114,Ferramentas Pro,Broca serra copo,2025-07-27,2025-07-28,1357.48,60
115,Fios e Fios,"Condutor 2,5mm²",2025-07-08,2025-07-10,1134.05,40
115,Elétrica Verde,Condutor terra 4mm²,2025-08-13,2025-08-15,1211.71,102
115,ConecteMais,Emenda rápida,2025-07-10,2025-07-14,176.46,47
115,3M,Fita isolante,2025-07-28,2025-08-01,930.1,24
115,DistribuiBem,Caixa de passagem,2025-08-02,2025-08-03,1062.54,80
116,Pial Legrand,Tomada 10A,2025-08-05,2025-08-05,307.76,121
116,Schneider,Placa 4x2,2025-07-16,2025-07-15,1065.2,13
116,Tigre,Interruptor simples,2025-08-07,2025-08-13,1035.75,84
116,Fixador Brasil,Suporte metálico,2025-07-09,2025-07-10,595.73,3
116,Fios e Fios,Condutor neutro azul,2025-07-22,2025-07-22,1291.17,65
117,HidroMax,Tubo PPR Ø25mm,2025-08-15,2025-08-19,62.65,29
117,Conexões BR,Joelho 90° PPR,2025-08-06,2025-08-09,1353.37,2
117,Tigre,Registro esfera,2025-08-01,2025-08-02,430.28,63
117,Loctite,Fita veda rosca,2025-08-07,2025-08-13,76.02,123
117,FixHidro,Abraçadeira hidráulica,2025-07-25,2025-07-30,893.3,134
118,Amanco,Tubo PVC esgoto Ø100mm,2025-07-11,2025-07-11,383.61,8
118,Amanco,Joelho 45° esgoto,2025-08-02,2025-08-04,1352.64,54
118,HidroCasa,Caixa de inspeção,2025-07-06,2025-07-12,1197.69,78
118,TampaFácil,Tampa para caixa,2025-07-22,2025-07-27,631.02,143
118,HidroSafe,Anel de vedação,2025-08-07,2025-08-06,885.83,90
119,Deca,Vaso sanitário com caixa acoplada,2025-08-04,2025-08-03,1458.49,48
119,Incepa,Pia de banheiro,2025-07-03,2025-07-04,556.37,61
119,Lorenzetti,Torneira lavatório,2025-07-06,2025-07-05,1153.9,96
119,PlastSan,Assento sanitário,2025-07-15,2025-07-21,725.12,96
119,HidroCasa,Ralo sifonado,2025-07-04,2025-07-07,359.9,68
120,Cimento Nacional,Cimento CP II,2025-08-15,2025-08-20,20.83,88
120,Areal Delta,Areia fina,2025-07-02,2025-07-03,803.38,137
120,Vedacit,Bianco adesivo,2025-07-21,2025-07-24,609.0,61
120,LocaMix,Betoneira 400L,2025-08-10,2025-08-09,211.41,114
120,Ferramentas Sul,Peneira fina,2025-07-09,2025-07-11,339.47,121
